player,position,club,nationality,goals,assists,minutes,rating,goals_per_90,assists_per_90,performance_score
Mohamed Abdel Monem,Defender,Egypt,Egypt,0,0,14,2.75,0.0,0.0,0.55
Mohamed Amine Sbai,Forward,Morocco,France,0,0,5,6.45,0.0,0.0,1.29
Mohamed Amoura,Forward,Algeria,Algeria,0,0,26,6.53,0.0,0.0,1.306
Mohamed Belhaj Mahmoud,Midfielder,Tunisia,Tunisia,0,0,41,6.52,0.0,0.0,1.304
Mohamed Hany Eldemerdash,Defender,Egypt,Egypt,0,1,450,6.77,0.0,0.2,1.4140000000000001
Mohamed Naceur Almanai,Midfielder,Qatar,Qatar,0,0,66,5.96,0.0,0.0,1.192
Mohamed Salah,Forward,Egypt,Egypt,1,2,398,7.22,0.22613065326633164,0.4522613065326633,1.6927437185929648
Mohamed Toure,Forward,Australia,Australia,0,0,136,6.58,0.0,0.0,1.316
Mohammad Abualnadi,Defender,Jordan,USA,0,0,72,6.41,0.0,0.0,1.282
Mohammad Ali Hasan Abu Hasheesh,Defender,Jordan,Jordan,0,0,5,6.81,0.0,0.0,1.362
Mohammad Ghorbani,Midfielder,Iran,Iran,0,0,90,6.58,0.0,0.0,1.316
Mohammad Mohebi,Forward,Iran,Iran,1,0,246,6.72,0.36585365853658536,0.0,1.5269268292682927
Mohammad Ratib Mohammad Al Daoud,Midfielder,Jordan,Jordan,0,0,2,0.0,0.0,0.0,0.0
Mohammadhossein Kanani Zadegan,Defender,Iran,Iran,0,0,136,6.93,0.0,0.0,1.3860000000000001
Mohammed Kanoo,Midfielder,Saudi Arabia,Saudi Arabia,0,0,224,6.93,0.0,0.0,1.3860000000000001
Mohammed Khalil Al Owais,Goalkeeper,Saudi Arabia,Saudi Arabia,0,0,270,7.04,0.0,0.0,1.4080000000000001
Mohanad Mostafa Lasheen,Midfielder,Egypt,Egypt,0,0,360,7.01,0.0,0.0,1.4020000000000001
Mohannad Nahmoud Saleh Abu Taha,Defender,Jordan,Jordan,0,0,265,6.78,0.0,0.0,1.356
Moise Bombito,Defender,Canada,Canada,0,0,193,6.3,0.0,0.0,1.26
Moisés Caicedo,Midfielder,Ecuador,Ecuador,0,0,360,7.47,0.0,0.0,1.494
Mojmír Chytil,Forward,Czech Republic,Czech Republic,0,0,6,6.55,0.0,0.0,1.31
Montassar Talbi,Defender,Tunisia,Tunisia,0,0,270,6.46,0.0,0.0,1.292
Moon-Hwan Kim,Defender,South Korea,South Korea,0,0,71,6.49,0.0,0.0,1.298
Morgan Rogers,Midfielder,England,England,0,1,306,6.71,0.0,0.29411764705882354,1.430235294117647
Morten Thorsby,Midfielder,Norway,Norway,0,0,44,6.39,0.0,0.0,1.278
Mory Diaw,Goalkeeper,Senegal,France,0,0,207,6.57,0.0,0.0,1.314
Mostafa Ahmed Shobeir,Goalkeeper,Egypt,Egypt,0,0,450,7.26,0.0,0.0,1.452
Mostafa Mohamed Zaki Abdelraouf,Forward,Egypt,Egypt,2,1,375,7.05,0.48,0.24,1.7220000000000002
Moteb Al-Harbi,Defender,Saudi Arabia,Saudi Arabia,0,0,188,6.36,0.0,0.0,1.2720000000000002
Mouhamadou Diarra,Midfielder,Senegal,Senegal,2,0,144,7.11,1.25,0.0,2.047
Moussa Al Tamari,Forward,Jordan,Jordan,1,1,216,6.98,0.4166666666666667,0.4166666666666667,1.7293333333333334
Moussa Niakhate,Defender,Senegal,Senegal,0,1,360,6.97,0.0,0.25,1.469
Muhammad Abu Al Shamat,Defender,Saudi Arabia,Saudi Arabia,0,0,135,6.62,0.0,0.0,1.324
Muhammed Kerem Aktürkoğlu,Forward,Turkey,Turkey,0,0,131,6.57,0.0,0.0,1.314
Muhanad Ali,Forward,Iraq,Iraq,0,0,12,6.45,0.0,0.0,1.29
Musab Fahz Aljuwayr,Midfielder,Saudi Arabia,Saudi Arabia,0,0,153,6.67,0.0,0.0,1.334
Mustafa Saadoun Al Korji,Defender,Iraq,Iraq,0,0,17,6.2,0.0,0.0,1.2400000000000002
Nabil Bentaleb,Midfielder,Algeria,Algeria,0,0,287,6.83,0.0,0.0,1.366
Nadiem Amiri,Midfielder,Germany,Germany,0,1,10,6.96,0.0,9.0,4.092
Nahuel Molina,Defender,Argentina,Argentina,0,0,500,6.6,0.0,0.0,1.32
Nasser Al Dawsari,Midfielder,Saudi Arabia,Saudi Arabia,0,0,207,6.74,0.0,0.0,1.348
Nathan Aké,Defender,Netherlands,Netherlands,0,0,170,6.68,0.0,0.0,1.336
Nathan Ngoy,Defender,Belgium,Belgium,0,0,336,6.7,0.0,0.0,1.34
Nathan Patterson,Defender,Scotland,Scotland,0,0,186,6.39,0.0,0.0,1.278
Nathan Saliba,Midfielder,Canada,Canada,1,2,182,7.55,0.4945054945054945,0.989010989010989,2.053956043956044
Nathanaël Mbuku,Forward,Congo DR,France,0,0,144,6.95,0.0,0.0,1.3900000000000001
Nathaniel Brown,Defender,Germany,Germany,1,1,253,7.34,0.3557312252964427,0.3557312252964427,1.7525849802371543
Nawaf Boushal,Defender,Saudi Arabia,Saudi Arabia,0,0,91,6.51,0.0,0.0,1.302
Neil El Aynaoui,Midfielder,Morocco,France,0,0,533,7.0,0.0,0.0,1.4000000000000001
Nélson Semedo,Defender,Portugal,Portugal,0,0,123,6.49,0.0,0.0,1.298
Néstor Fernando Muslera Micol,Goalkeeper,Uruguay,Uruguay,0,0,226,5.89,0.0,0.0,1.178
Nestory Irankunda,Forward,Australia,Australia,1,0,263,6.86,0.3422053231939164,0.0,1.5431026615969583
Neymar,Midfielder,Brazil,Brazil,1,0,37,6.74,2.4324324324324325,0.0,2.5642162162162165
Ngal'ayel Mukau,Midfielder,Congo DR,Belgium,0,0,197,6.52,0.0,0.0,1.304
Nick Woltemade,Forward,Germany,Germany,0,0,2,6.84,0.0,0.0,1.368
Nico Elvedi,Defender,Switzerland,Switzerland,0,0,540,7.1,0.0,0.0,1.42
Nico O'Reilly,Defender,England,England,0,0,462,6.63,0.0,0.0,1.326
Nico Paz,Midfielder,Argentina,Argentina,0,0,71,6.67,0.0,0.0,1.334
Nico Schlotterbeck,Defender,Germany,Germany,1,0,136,7.39,0.6617647058823529,0.0,1.8088823529411764
Nico Williams,Forward,Spain,Spain,0,1,78,5.54,0.0,1.1538461538461537,1.4541538461538461
Nicolás De La Cruz,Midfielder,Uruguay,Uruguay,0,0,83,6.94,0.0,0.0,1.3880000000000001
Nicolás González,Forward,Argentina,Argentina,0,1,195,6.77,0.0,0.46153846153846156,1.4924615384615385
Nicolas Jackson,Forward,Senegal,Senegal,0,1,202,6.66,0.0,0.44554455445544555,1.4656633663366336
Nicolas Otamendi,Defender,Argentina,Argentina,0,0,181,5.75,0.0,0.0,1.1500000000000001
Nicolas Pépé,Forward,Ivory Coast,Ivory Coast,2,1,236,7.12,0.7627118644067796,0.3813559322033898,1.919762711864407
Nicolas Raskin,Midfielder,Belgium,Belgium,0,2,310,6.86,0.0,0.5806451612903225,1.5461935483870968
