player,position,club,nationality,goals,assists,minutes,rating,goals_per_90,assists_per_90,performance_score
Elliot Stroud,Midfielder,Sweden,Sweden,0,0,166,6.61,0.0,0.0,1.322
Ellyes Skhiri,Midfielder,Tunisia,France,0,0,252,6.16,0.0,0.0,1.2320000000000002
Eloy Room,Goalkeeper,Curaçao,Curaçao,0,0,270,7.08,0.0,0.0,1.4160000000000001
Elye Wahi,Forward,Ivory Coast,France,0,0,109,6.44,0.0,0.0,1.2880000000000003
Emam Ashour,Midfielder,Egypt,Egypt,2,0,338,7.02,0.5325443786982249,0.0,1.6702721893491124
Emiliano Martínez,Goalkeeper,Argentina,Argentina,0,0,720,6.83,0.0,0.0,1.366
Emmanuel Agbadou,Defender,Ivory Coast,Ivory Coast,0,0,270,6.9,0.0,0.0,1.3800000000000001
Endrick Felipe Moreira de Sousa,Forward,Brazil,Brazil,0,0,110,6.49,0.0,0.0,1.298
Enner Valencia,Forward,Ecuador,Ecuador,0,0,290,6.43,0.0,0.0,1.286
Enzo Fernández,Midfielder,Argentina,Argentina,2,0,631,7.12,0.28526148969889065,0.0,1.5666307448494454
Eren Elmalı,Defender,Turkey,Turkey,0,0,110,6.97,0.0,0.0,1.3940000000000001
Erick Javier Davis Grajales,Defender,Panama,Panama,0,0,2,0.0,0.0,0.0,0.0
Erik Antonio Lira Méndez,Midfielder,Mexico,Mexico,0,1,346,6.94,0.0,0.26011560693641617,1.466034682080925
Erling Haaland,Forward,Norway,Norway,7,0,466,7.75,1.351931330472103,0.0,2.2259656652360515
Ermedin Demirović,Forward,Bosnia and Herzegovina,Bosnia and Herzegovina,0,0,356,6.58,0.0,0.0,1.316
Ermin Mahmić,Midfielder,Bosnia and Herzegovina,Austria,2,0,65,6.91,2.769230769230769,0.0,2.7666153846153847
Ernest Appiah Nuamah,Forward,Ghana,Ghana,0,1,88,6.65,0.0,1.0227272727272727,1.636818181818182
Ernesto Alexis Vega Rojas,Forward,Mexico,Mexico,0,0,11,6.48,0.0,0.0,1.2960000000000003
Esmir Bajraktarevic,Forward,Bosnia and Herzegovina,USA,0,0,229,6.54,0.0,0.0,1.308
Evann Guessand,Forward,Ivory Coast,France,0,0,15,6.31,0.0,0.0,1.262
Evidence Makgopa,Forward,South Africa,South Africa,0,0,214,6.73,0.0,0.0,1.346
Exequiel Palacios,Midfielder,Argentina,Argentina,0,0,90,7.39,0.0,0.0,1.478
Ezri Konsa,Defender,England,England,1,0,647,6.77,0.1391035548686244,0.0,1.4235517774343123
Fabián,Midfielder,Spain,Spain,1,0,321,6.15,0.2803738317757009,0.0,1.3701869158878506
Fabian Rieder,Midfielder,Switzerland,Switzerland,0,0,304,6.65,0.0,0.0,1.33
Fabinho,Midfielder,Brazil,Brazil,0,0,69,6.64,0.0,0.0,1.328
Facundo Medina,Defender,Argentina,Argentina,0,1,278,5.54,0.0,0.3237410071942446,1.2051223021582735
Fares Chaïbi,Midfielder,Algeria,France,0,0,360,7.06,0.0,0.0,1.412
Farrux Sayfiyev,Defender,Uzbekistan,Uzbekistan,0,0,44,6.3,0.0,0.0,1.26
Federico Sebastián Viñas Barboza,Forward,Uruguay,Uruguay,0,0,193,6.72,0.0,0.0,1.344
Federico Valverde,Midfielder,Uruguay,Uruguay,0,0,237,7.01,0.0,0.0,1.4020000000000001
Felix Eduardo Torres Caicedo,Defender,Ecuador,Ecuador,0,0,5,6.47,0.0,0.0,1.294
Felix Nmecha,Midfielder,Germany,England,1,1,273,7.01,0.32967032967032966,0.32967032967032966,1.6657362637362638
Ferdi Kadioglu,Defender,Turkey,Turkey,0,0,160,7.32,0.0,0.0,1.4640000000000002
Ferrán Torres,Forward,Spain,Spain,1,1,252,6.63,0.35714285714285715,0.35714285714285715,1.6117142857142857
Fidel Escobar Mendieta,Defender,Panama,Panama,0,0,90,6.79,0.0,0.0,1.358
Findlay Curtis,Forward,Scotland,Scotland,0,0,7,3.21,0.0,0.0,0.642
Finn Surman,Defender,New Zealand,New Zealand,1,0,270,6.83,0.3333333333333333,0.0,1.5326666666666668
Firas Albirakan,Forward,Saudi Arabia,Saudi Arabia,0,0,240,6.55,0.0,0.0,1.31
Firas Chaouat,Forward,Tunisia,Tunisia,0,0,47,6.43,0.0,0.0,1.286
Fiston Kalala Mayele,Forward,Congo DR,Congo DR,1,0,40,3.71,2.25,0.0,1.867
Florian Grillitsch,Midfielder,Austria,Austria,0,0,88,6.59,0.0,0.0,1.318
Florian Wirtz,Midfielder,Germany,Germany,0,3,363,7.54,0.0,0.7438016528925621,1.7311404958677685
Folarin Balogun,Forward,USMNT,England,3,0,316,6.98,0.8544303797468354,0.0,1.823215189873418
Francis De Vries,Defender,New Zealand,New Zealand,0,0,16,6.12,0.0,0.0,1.2240000000000002
Francisco Conceição,Forward,Portugal,Portugal,0,0,122,6.83,0.0,0.0,1.366
Francisco Trincão,Midfielder,Portugal,Portugal,0,0,27,6.44,0.0,0.0,1.2880000000000003
Franck Kessie,Midfielder,Ivory Coast,Ivory Coast,1,0,347,6.84,0.25936599423631124,0.0,1.4976829971181558
Frans Dhia Putros,Defender,Iraq,Denmark,0,0,90,6.13,0.0,0.0,1.226
Frantzdy Pierrot,Forward,Haiti,Haiti,0,0,143,6.57,0.0,0.0,1.314
Fredrik Aursnes,Midfielder,Norway,Norway,0,0,273,6.7,0.0,0.0,1.34
Fredrik Bjørkan,Defender,Norway,Norway,0,0,46,6.22,0.0,0.0,1.244
Freese Matthew,Goalkeeper,USMNT,USA,0,0,360,6.49,0.0,0.0,1.298
Frenkie de Jong,Midfielder,Netherlands,Netherlands,0,0,331,7.01,0.0,0.0,1.4020000000000001
Gabriel Ávalos,Forward,Paraguay,Paraguay,0,0,141,4.89,0.0,0.0,0.978
Gabriel Gudmundsson,Defender,Sweden,Sweden,0,0,333,6.51,0.0,0.0,1.302
Gabriel Magalhães,Defender,Brazil,Brazil,0,1,450,7.16,0.0,0.2,1.4920000000000002
Gabriel Martinelli,Forward,Brazil,Brazil,1,0,141,6.93,0.6382978723404256,0.0,1.7051489361702128
Garry Rodrigues,Forward,Cape Verde Islands,Cape Verde,0,0,77,6.48,0.0,0.0,1.2960000000000003
Gavi,Midfielder,Spain,Spain,0,0,76,6.75,0.0,0.0,1.35
Gedeon Kalulu,Defender,Congo DR,France,0,0,5,6.55,0.0,0.0,1.31
Gervane Kastaneer,Forward,Curaçao,Curaçao,0,0,27,6.47,0.0,0.0,1.294
Gessime Yassine,Forward,Morocco,France,1,0,47,6.88,1.9148936170212765,0.0,2.3334468085106383
Ghislain Konan,Defender,Ivory Coast,Ivory Coast,0,0,270,6.74,0.0,0.0,1.348
Gi-Hyuk Lee,Defender,South Korea,South Korea,0,0,270,6.91,0.0,0.0,1.3820000000000001
Gideon Mensah,Defender,Ghana,Ghana,0,0,360,6.94,0.0,0.0,1.3880000000000001
Gilberto Rafael Mora Zambrano,Midfielder,Mexico,Mexico,0,0,215,6.47,0.0,0.0,1.294
Gilson Benchimol Tavares,Forward,Cape Verde Islands,Cape Verde,0,0,48,6.47,0.0,0.0,1.294
Giovani Lo Celso,Midfielder,Argentina,Argentina,1,0,60,7.41,1.5,0.0,2.232
Giovanni Reyna,Midfielder,USMNT,USA,1,0,128,4.05,0.703125,0.0,1.1615625
Giuliano Simeone,Forward,Argentina,Italy,0,0,163,6.62,0.0,0.0,1.324
Godfried Roemeratoe,Midfielder,Curaçao,Netherlands,0,0,6,6.53,0.0,0.0,1.306
Gonçalo Ramos,Forward,Portugal,Portugal,1,0,34,7.0,2.6470588235294117,0.0,2.723529411764706
Gonzalo Montiel,Defender,Argentina,Argentina,0,1,130,6.59,0.0,0.6923076923076923,1.5256923076923077
Gonzalo Plata,Forward,Ecuador,Ecuador,1,0,360,7.13,0.25,0.0,1.5510000000000002
Granit Xhaka,Midfielder,Switzerland,Switzerland,1,0,540,7.24,0.16666666666666666,0.0,1.5313333333333334
Grant Hanley,Defender,Scotland,Scotland,0,0,180,7.14,0.0,0.0,1.428
Gregor Kobel,Goalkeeper,Switzerland,Switzerland,0,0,540,7.08,0.0,0.0,1.4160000000000001
Guela Doué,Defender,Ivory Coast,France,0,0,277,6.81,0.0,0.0,1.362
Gueye Seydinaissa Laye,Defender,Qatar,Qatar,0,0,270,6.46,0.0,0.0,1.292
Guillermo Martínez Ayala,Forward,Mexico,Mexico,0,0,72,6.46,0.0,0.0,1.292
Guillermo Ochoa,Goalkeeper,Mexico,Mexico,0,0,12,6.62,0.0,0.0,1.324
Guillermo Varela Olivera,Defender,Uruguay,Uruguay,0,0,270,6.77,0.0,0.0,1.354
Gustaf Lagerbielke,Defender,Sweden,Sweden,0,0,360,6.56,0.0,0.0,1.312
Gustaf Nilsson,Forward,Sweden,Sweden,0,0,1,0.0,0.0,0.0,0.0
Gustavo Aldolfo Puerta Molano,Midfielder,Colombia,Colombia,0,1,440,7.26,0.0,0.20454545454545453,1.5133636363636362
Gustavo Caballero,Forward,Paraguay,Paraguay,0,0,64,6.73,0.0,0.0,1.346
Gustavo Gómez,Defender,Paraguay,Paraguay,0,0,450,6.72,0.0,0.0,1.344
Guus Til,Midfielder,Netherlands,Netherlands,0,0,31,6.53,0.0,0.0,1.306
Haissem Hassan,Forward,Egypt,France,0,1,96,6.83,0.0,0.9375,1.64725
Hakan Çalhanoğlu,Midfielder,Turkey,Turkey,0,0,180,7.69,0.0,0.0,1.5380000000000003
Hamdi Fathi,Midfielder,Egypt,Egypt,0,0,240,6.74,0.0,0.0,1.348
Hamza Abdel Karim,Forward,Egypt,Egypt,0,0,26,6.47,0.0,0.0,1.294
Han-Beom Lee,Defender,South Korea,South Korea,0,0,270,6.92,0.0,0.0,1.3840000000000001
Hannes Delcroix,Defender,Haiti,Belgium,0,0,270,6.42,0.0,0.0,1.284
Hannibal Mejbri,Midfielder,Tunisia,France,0,2,270,7.08,0.0,0.6666666666666666,1.616
Hans Vanaken,Midfielder,Belgium,Belgium,1,2,318,5.96,0.2830188679245283,0.5660377358490566,1.5033207547169811
Haris Tabakovic,Forward,Bosnia and Herzegovina,Switzerland,0,0,15,6.46,0.0,0.0,1.292
Harry Kane,Forward,England,England,6,1,624,7.28,0.8653846153846153,0.14423076923076922,1.9319615384615387
Harry Souttar,Defender,Australia,Scotland,0,0,360,7.08,0.0,0.0,1.4160000000000001
Hassan Khalid Al Haidos,Midfielder,Qatar,Qatar,1,0,58,3.5,1.5517241379310345,0.0,1.4758620689655173
Hassan Mohammed Al Tambakti,Defender,Saudi Arabia,Saudi Arabia,0,0,213,6.31,0.0,0.0,1.262
Hazem Mastouri,Forward,Tunisia,Tunisia,1,0,90,7.82,1.0,0.0,2.064
Hee-Chan Hwang,Forward,South Korea,South Korea,0,0,107,6.64,0.0,0.0,1.328
Hélio Sandro Oliveira Alves Varela,Forward,Cape Verde Islands,Portugal,1,0,71,6.8,1.267605633802817,0.0,1.9938028169014086
Henrik Sælebakke Falchener,Defender,Norway,Norway,0,0,66,5.83,0.0,0.0,1.1660000000000001
Hernán Ismael Galíndez,Goalkeeper,Ecuador,Argentina,0,0,360,6.62,0.0,0.0,1.324
Heung-Min Son,Forward,South Korea,South Korea,0,0,170,6.8,0.0,0.0,1.36
Hicham Boudaoui,Midfielder,Algeria,Algeria,0,0,129,6.77,0.0,0.0,1.354
Hiroki Ito,Defender,Japan,Japan,0,0,360,6.65,0.0,0.0,1.33
Homam Ahmed Ahmed,Defender,Qatar,Qatar,0,0,123,6.33,0.0,0.0,1.266
Hossam Abdelmaguid,Defender,Egypt,Egypt,0,0,28,6.73,0.0,0.0,1.346
Houssem Aouar,Midfielder,Algeria,France,0,2,174,7.11,0.0,1.0344827586206897,1.732344827586207
Husam Ali Mohammad Abudahab,Defender,Jordan,Jordan,0,0,180,6.39,0.0,0.0,1.278
Hussein Ali,Defender,Iraq,Sweden,0,0,163,6.04,0.0,0.0,1.2080000000000002
Hyun-Gyu Oh,Forward,South Korea,South Korea,1,0,128,6.81,0.703125,0.0,1.7135625
Hyun-Jun Yang,Forward,South Korea,South Korea,0,0,19,6.47,0.0,0.0,1.294
Ibraheem Bayesh,Forward,Iraq,Iraq,0,0,237,6.24,0.0,0.0,1.2480000000000002
Ibrahim Adel,Forward,Egypt,Egypt,0,0,2,0.0,0.0,0.0,0.0
Ibrahim Maza,Midfielder,Algeria,Germany,0,0,351,6.67,0.0,0.0,1.334
Ibrahim Mbaye,Forward,Senegal,France,1,0,125,6.82,0.72,0.0,1.7240000000000002
Ibrahim Sangaré,Midfielder,Ivory Coast,Ivory Coast,0,1,268,7.12,0.0,0.33582089552238803,1.5247462686567166
Ibrahima Konaté,Defender,France,France,0,0,60,6.17,0.0,0.0,1.234
Idrissa Gueye,Midfielder,Senegal,Senegal,0,0,364,7.17,0.0,0.0,1.4340000000000002
Igor Matanovic,Forward,Croatia,Germany,0,0,92,6.61,0.0,0.0,1.322
Igor Sergeev,Forward,Uzbekistan,Uzbekistan,0,0,25,6.41,0.0,0.0,1.282
Igor Thiago,Forward,Brazil,Brazil,0,0,62,6.41,0.0,0.0,1.282
Iliman Ndiaye,Forward,Senegal,France,1,2,113,7.35,0.7964601769911505,1.592920353982301,2.3461061946902655
Ime Okon,Defender,South Africa,South Africa,0,0,360,6.85,0.0,0.0,1.37
In-Beom Hwang,Midfielder,South Korea,South Korea,1,1,264,7.42,0.34090909090909094,0.34090909090909094,1.7567272727272727
Iñaki Williams,Forward,Ghana,Ghana,0,0,128,6.33,0.0,0.0,1.266
Iqraam Rayners,Forward,South Africa,South Africa,0,0,161,4.81,0.0,0.0,0.962
Isak Hien,Defender,Sweden,Sweden,0,0,217,6.47,0.0,0.0,1.294
Isidro Miguel Pitta Saldívar,Forward,Paraguay,Paraguay,0,0,46,6.14,0.0,0.0,1.228
Ismael Díaz,Forward,Panama,Panama,0,0,35,6.61,0.0,0.0,1.322
Ismaël Gharbi,Forward,Tunisia,Spain,0,0,126,6.14,0.0,0.0,1.228
Ismael Koné,Midfielder,Canada,Ivory Coast,0,0,147,6.81,0.0,0.0,1.362
Ismael Saibari,Midfielder,Morocco,Morocco,3,0,355,7.07,0.7605633802816901,0.0,1.7942816901408452
Ismail Jakobs,Defender,Senegal,Senegal,0,0,220,6.68,0.0,0.0,1.336
İsmail Yüksek,Midfielder,Turkey,Turkey,0,0,141,7.18,0.0,0.0,1.436
Ismaïla Sarr,Forward,Senegal,Senegal,4,1,336,7.62,1.0714285714285714,0.26785714285714285,2.140071428571429
Israel Reyes Romero,Defender,Mexico,Mexico,0,0,200,6.89,0.0,0.0,1.3780000000000001
Issa Diop,Defender,Morocco,France,1,0,447,6.93,0.20134228187919462,0.0,1.4866711409395974
Issahaku Abdul Fatawu,Forward,Ghana,Ghana,0,0,128,6.72,0.0,0.0,1.344
Ivan Bašić,Midfielder,Bosnia and Herzegovina,Bosnia and Herzegovina,0,1,179,7.15,0.0,0.5027932960893855,1.5808379888268158
Ivan Perišić,Forward,Croatia,Croatia,1,1,360,7.06,0.25,0.25,1.6119999999999999
Ivan Šunjić,Midfielder,Bosnia and Herzegovina,Croatia,0,0,199,6.51,0.0,0.0,1.302
Ivan Toney,Forward,England,England,0,0,79,3.27,0.0,0.0,0.654
Jack Hendry,Defender,Scotland,Scotland,0,0,270,6.68,0.0,0.0,1.336
Jackson Irvine,Midfielder,Australia,Australia,0,0,192,6.81,0.0,0.0,1.362
Jackson Porozo,Defender,Ecuador,Ecuador,0,0,28,6.06,0.0,0.0,1.212
Jacob Italiano,Defender,Australia,Australia,0,0,164,6.61,0.0,0.0,1.322
Jacob Shaffelburg,Forward,Canada,Canada,0,0,87,6.68,0.0,0.0,1.336
Jacob Widell Zetterström,Goalkeeper,Sweden,Sweden,0,0,180,7.14,0.0,0.0,1.428
Jae-Sung Lee,Midfielder,South Korea,South Korea,0,0,119,7.04,0.0,0.0,1.4080000000000001
Jakhongir O'rozov,Defender,Uzbekistan,Uzbekistan,0,0,95,6.25,0.0,0.0,1.25
Jalal Hassan Hachim,Goalkeeper,Iraq,Iraq,0,0,134,6.03,0.0,0.0,1.2060000000000002
Jamal Musiala,Midfielder,Germany,Germany,1,0,241,6.98,0.37344398340248963,0.0,1.582721991701245
James Rodriguez,Midfielder,Colombia,Colombia,0,0,318,7.18,0.0,0.0,1.436
Jamie Leweling,Forward,Germany,Germany,0,0,30,6.64,0.0,0.0,1.328
Jaminton Leandro Campaz,Forward,Colombia,Colombia,1,0,42,7.13,2.142857142857143,0.0,2.4974285714285713
Jamiro Monteiro,Midfielder,Cape Verde Islands,Cape Verde,0,0,253,6.61,0.0,0.0,1.322
Jan Paul van Hecke,Defender,Netherlands,Netherlands,1,0,360,7.26,0.25,0.0,1.577
Jaouen Hadjam,Defender,Algeria,France,0,0,108,6.56,0.0,0.0,1.312
Jarell Quansah,Defender,England,England,0,0,200,6.16,0.0,0.0,1.2320000000000002
Jaroslav Zelený,Defender,Czech Republic,Czech Republic,0,0,125,6.52,0.0,0.0,1.304
Jason Geria,Defender,Australia,Australia,0,0,60,6.46,0.0,0.0,1.292
Jassem Gaber Abdulsallam,Midfielder,Qatar,Qatar,0,0,152,6.3,0.0,0.0,1.26
Jayden Adams,Midfielder,South Africa,South Africa,0,0,117,6.6,0.0,0.0,1.32
Jayden Nelson,Forward,Canada,Canada,0,0,3,0.0,0.0,0.0,0.0
Jean Michaël Seri,Midfielder,Ivory Coast,Ivory Coast,0,0,13,6.66,0.0,0.0,1.332
Jean-Kevin Duverne,Defender,Haiti,France,0,1,170,6.47,0.0,0.5294117647058824,1.4528235294117646
Jean-Philippe Mateta,Forward,France,France,0,0,21,4.25,0.0,0.0,0.8500000000000001
Jean-Ricner Bellegarde,Midfielder,Haiti,France,0,0,261,6.75,0.0,0.0,1.35
Jearl Margaritha,Forward,Curaçao,Netherlands,0,0,39,6.32,0.0,0.0,1.2640000000000002
Jefferson Lerma,Midfielder,Colombia,Colombia,0,0,412,6.89,0.0,0.0,1.3780000000000001
Jens Castrop,Midfielder,South Korea,Germany,0,0,44,6.7,0.0,0.0,1.34
Jens Petter Hauge,Forward,Norway,Norway,0,0,7,6.28,0.0,0.0,1.2560000000000002
Jeremy Antonisse,Forward,Curaçao,Netherlands,0,0,73,6.71,0.0,0.0,1.342
Jeremy Doku,Forward,Belgium,Belgium,0,0,311,6.7,0.0,0.0,1.34
Jerome Osei Opoku,Defender,Ghana,England,0,0,270,6.94,0.0,0.0,1.3880000000000001
Jesper Karlström,Midfielder,Sweden,Sweden,0,0,140,6.49,0.0,0.0,1.298
Jesse Randall,Forward,New Zealand,New Zealand,0,0,58,6.59,0.0,0.0,1.318
Jesús Daniel Gallardo Vasconcelos,Defender,Mexico,Mexico,0,0,372,6.73,0.0,0.0,1.346
Jhon Arias,Forward,Colombia,Colombia,1,0,382,7.51,0.2356020942408377,0.0,1.619801047120419
Jhon Cordoba,Forward,Colombia,Colombia,0,0,100,6.46,0.0,0.0,1.292
Jhon Lucumí,Defender,Colombia,Colombia,0,0,479,6.98,0.0,0.0,1.3960000000000001
Ji-Sung Eom,Forward,South Korea,South Korea,0,0,40,6.88,0.0,0.0,1.3760000000000001
Jin-Gyu Kim,Midfielder,South Korea,South Korea,0,0,50,6.54,0.0,0.0,1.308
Jin-Seop Park,Midfielder,South Korea,South Korea,0,0,31,6.66,0.0,0.0,1.332
Jiovany Javier Ramos Díaz,Defender,Panama,Panama,0,0,167,6.86,0.0,0.0,1.372
João Cancelo,Defender,Portugal,Portugal,0,1,316,7.06,0.0,0.2848101265822785,1.4974430379746835
João Félix,Forward,Portugal,Portugal,0,0,204,6.94,0.0,0.0,1.3880000000000001
João Neves,Midfielder,Portugal,Portugal,1,0,390,7.24,0.23076923076923078,0.0,1.5633846153846156
João Paulo Moreira Fernandes,Midfielder,Cape Verde Islands,Cape Verde,0,0,104,7.04,0.0,0.0,1.4080000000000001
Joaquin Seys,Defender,Belgium,Belgium,0,0,29,6.55,0.0,0.0,1.31
Joe Bell,Midfielder,New Zealand,New Zealand,0,0,244,6.61,0.0,0.0,1.322
Joel Ordóñez,Defender,Ecuador,Ecuador,0,0,226,6.55,0.0,0.0,1.31
Johan Manzambi,Midfielder,Switzerland,Switzerland,3,2,200,7.17,1.3499999999999999,0.8999999999999999,2.379
Johan Mojica,Defender,Colombia,Colombia,0,0,360,7.03,0.0,0.0,1.4060000000000001
Johan Vásquez,Defender,Mexico,Mexico,0,0,360,6.93,0.0,0.0,1.3860000000000001
John McGinn,Midfielder,Scotland,Scotland,1,0,262,6.66,0.3435114503816794,0.0,1.5037557251908398
John Stones,Defender,England,England,0,0,300,5.24,0.0,0.0,1.048
John Yeboah Zamora,Forward,Ecuador,Germany,0,0,315,7.33,0.0,0.0,1.4660000000000002
Johny Placide,Goalkeeper,Haiti,Haiti,0,0,270,6.6,0.0,0.0,1.32
Jonas Adjei Adjetey,Defender,Ghana,Ghana,0,0,226,6.93,0.0,0.0,1.3860000000000001
Jonathan David,Forward,Canada,Canada,3,0,421,7.25,0.6413301662707838,0.0,1.770665083135392
Jonathan Osorio,Midfielder,Canada,Canada,0,0,3,0.0,0.0,0.0,0.0
Jonathan Tah,Defender,Germany,Germany,0,0,343,7.0,0.0,0.0,1.4000000000000001
Jordan Ayew,Forward,Ghana,Ghana,0,0,304,6.58,0.0,0.0,1.316
Jordan Bos,Defender,Australia,Australia,0,0,310,6.76,0.0,0.0,1.352
Jordan Henderson,Midfielder,England,England,0,0,6,13.22,0.0,0.0,2.644
Jordan Pickford,Goalkeeper,England,England,0,0,630,6.67,0.0,0.0,1.334
Jordy Alcívar,Midfielder,Ecuador,Ecuador,0,0,46,6.72,0.0,0.0,1.344
Jordy Josué Caicedo Medina,Forward,Ecuador,Ecuador,0,0,17,4.32,0.0,0.0,0.8640000000000001
Jorge Abdiel Gutiérrez Cornejo,Defender,Panama,Panama,0,0,88,6.5,0.0,0.0,1.3
Jorge Sánchez,Defender,Mexico,Mexico,0,1,349,6.86,0.0,0.25787965616045844,1.4493638968481377
Joris Kayembe,Defender,Congo DR,Belgium,0,0,42,5.06,0.0,0.0,1.012
Jorrel Hato,Defender,Netherlands,Netherlands,0,0,4,6.23,0.0,0.0,1.2460000000000002
José Angel Cordoba Chambers,Defender,Panama,Panama,0,0,270,6.57,0.0,0.0,1.314
José Fajardo Nelson,Forward,Panama,Panama,0,0,154,6.44,0.0,0.0,1.2880000000000003
José María Canale Domínguez,Defender,Paraguay,Paraguay,0,0,128,5.04,0.0,0.0,1.008
José Raúl Rangel Aguilar,Goalkeeper,Mexico,Mexico,0,0,438,6.88,0.0,0.0,1.3760000000000001
Joseph Scally,Defender,USMNT,USA,0,0,87,6.54,0.0,0.0,1.308
Joshua Brenet,Defender,Curaçao,Netherlands,0,0,180,6.58,0.0,0.0,1.316
Joshua Kimmich,Midfielder,Germany,Germany,0,2,323,7.56,0.0,0.5572755417956656,1.6791826625386996
Josimar José Évora Dias,Goalkeeper,Cape Verde Islands,Cape Verde,0,0,360,7.48,0.0,0.0,1.4960000000000002
Josip Stanisic,Defender,Croatia,Germany,0,2,360,6.8,0.0,0.5,1.51
Josip Šutalo,Defender,Croatia,Croatia,0,0,360,6.7,0.0,0.0,1.34
Joško Gvardiol,Defender,Croatia,Croatia,0,0,138,4.7,0.0,0.0,0.9400000000000001
Josue Casimir,Forward,Haiti,France,0,0,181,6.13,0.0,0.0,1.226
Jovane Cabral,Forward,Cape Verde Islands,Cape Verde,0,0,141,6.76,0.0,0.0,1.352
Jovo Lukić,Forward,Bosnia and Herzegovina,Bosnia and Herzegovina,1,0,66,3.73,1.3636363636363638,0.0,1.4278181818181819
Juan Fernando Quintero Paniagua,Midfielder,Colombia,Colombia,0,1,87,7.23,0.0,1.0344827586206897,1.756344827586207
Juan José Cáceres,Defender,Paraguay,Argentina,0,0,439,6.77,0.0,0.0,1.354
Juan Manuel Sanabria Magole,Defender,Uruguay,Uruguay,0,0,204,6.69,0.0,0.0,1.338
Jude Bellingham,Midfielder,England,England,7,1,616,7.7,1.0227272727272727,0.14610389610389612,2.0951948051948053
Jules Koundé,Defender,France,France,0,0,602,6.86,0.0,0.0,1.372
Julián Álvarez,Forward,Argentina,Argentina,1,0,542,6.75,0.16605166051660517,0.0,1.4330258302583028
Julián Andrés Quiñones Quiñones,Forward,Mexico,Colombia,4,1,414,7.62,0.8695652173913044,0.2173913043478261,2.024
Julian Ryerson,Defender,Norway,Norway,0,0,226,6.77,0.0,0.0,1.354
Julio Enciso,Midfielder,Paraguay,Paraguay,1,2,388,6.9,0.23195876288659795,0.4639175257731959,1.6351546391752578
Juninho Bacuna,Midfielder,Curaçao,Curaçao,0,0,255,6.71,0.0,0.0,1.342
Júnior Alonso,Defender,Paraguay,Paraguay,0,0,390,5.26,0.0,0.0,1.052
Junnosuke Suzuki,Defender,Japan,Japan,0,0,41,6.46,0.0,0.0,1.292
Junya Ito,Forward,Japan,Japan,1,0,215,6.76,0.4186046511627907,0.0,1.5613023255813954
Jürgen Locadia,Forward,Curaçao,Netherlands,0,0,238,6.47,0.0,0.0,1.294
